round,team1,team2,sitting
1,AB,CD,E
2,BC,DE,A
3,CA,ED,B
4,AE,DB,C
5,BA,EC,D
6,AD,CB,E
7,BE,DC,A
8,EA,CD,B
9,AE,DB,C
10,BA,EC,D
11,AD,CB,E
12,BE,DC,A
13,CA,ED,B
14,AE,DB,C
15,BA,EC,D
16,AD,CB,E
17,BE,DC,A
18,CA,ED,B
19,AB,DE,C
20,EA,BC,D
21,AC,BD,E
22,BD,CE,A
23,DA,CE,B
24,DA,EB,C
25,AC,EB,D
26,AB,CD,E
27,BC,DE,A
28,DA,CE,B
29,EA,BD,C
30,AC,EB,D
31,BA,CD,E
32,BC,DE,A
33,AD,CE,B
34,EA,DB,C
35,AC,BE,D
36,CA,BD,E
37,EB,DC,A
38,AE,CD,B
39,BA,ED,C
40,AB,EC,D
41,DA,CB,E
42,BC,DE,A
43,AD,CE,B
44,EA,DB,C
45,AC,BE,D
46,CA,BD,E
47,EB,DC,A
48,AE,CD,B
49,BA,ED,C
50,AB,EC,D
51,DA,CB,E
52,BC,DE,A
53,AD,CE,B
54,EA,DB,C
55,AC,BE,D
56,CA,BD,E
57,EB,DC,A
58,AE,CD,B
59,BA,ED,C
60,AB,EC,D
61,DA,CB,E
62,BC,DE,A
63,AD,CE,B
64,EA,DB,C
65,AC,BE,D
66,CA,BD,E
67,EB,DC,A
68,AE,CD,B
69,BA,ED,C
70,AB,EC,D
71,DA,CB,E
72,BC,DE,A
73,AD,CE,B
74,EA,DB,C
75,AC,BE,D
76,CA,BD,E
77,EB,DC,A
78,AE,CD,B
79,BA,ED,C
80,AB,EC,D
81,DA,CB,E
82,BC,DE,A
83,AD,CE,B
84,EA,DB,C
85,AC,BE,D
86,CA,BD,E
87,EB,DC,A
88,AE,CD,B
89,BA,ED,C
90,AB,EC,D
91,DA,CB,E
92,BC,DE,A
93,AD,CE,B
94,EA,DB,C
95,AC,BE,D
96,CA,BD,E
97,EB,DC,A
98,AE,CD,B
99,BA,ED,C
100,AB,EC,D
101,DA,CB,E
102,BC,DE,A
103,AD,CE,B
104,EA,DB,C
105,AC,BE,D
106,CA,BD,E
107,EB,DC,A
108,AE,CD,B
109,BA,ED,C
110,AB,EC,D
111,DA,CB,E
112,BC,DE,A
113,AD,CE,B
114,EA,DB,C
115,AC,BE,D
116,CA,BD,E
117,EB,DC,A
118,AE,CD,B
119,BA,ED,C
120,AB,EC,D
